,STORE_NUMBER,SKU_NUMBER,PART_TYPE,PLATFORM_CLUSTER_NAME,APPLICATION_COUNT,POP_EST_CY,POP_DENSITY_CY,PCT_WHITE,AGE,PCT_COLLEGE,PCT_BLUE_COLLAR,MEDIAN_HOUSEHOLD_INCOME,ESTABLISHMENTS,SKU_EXISTENCE_PY,SKU_STORE_PDQ_PY,TOTAL_VIO_PY,LOST_QTY_PY,AVG_CLUSTER_UNIT_SALES_PY,AVG_CLUSTER_LOST_SALES_PY,ROAD_QUALITY_INDEX,VIO_COMPARED_TO_CLUSTER_PY,ADJUSTED_AVG_CLUSTER_SALES_PY,QTY_SOLD_PPY,QTY_SOLD_PY,AVG_CLUSTER_TOTAL_SALES_PY,SALES_SIGNAL_PY,ADJUSTED_LIFECYCLE_PY,PCT_OF_LIFECYCLE_REMAINING,LIFECYCLE_PRE_PEAK_POST,ADJ_AVG_CLUSTER_LOST_SALES_PY,ADJ_AVG_CLUSTER_TOTAL_SALES_PY,py_unit_sales,ppy_unit_sales,py_gross_sales,ppy_gross_sales,py_sales_cost,ppy_sales_cost,PROJECTED_GROWTH_PCT_PY,OTHER_UNIT_PLS_LOST_SALES_PPY,OTHER_UNIT_PLS_LOST_SALES_PY,MPOG_ID,py_qty_sold_transfer,py_qty_sold_on_hand,ppy_qty_sold_transfer,ppy_qty_sold_on_hand,qty_sold_py_diy,qty_sold_py_difm,qty_sold_ppy_diy,qty_sold_ppy_difm
10,5623,1079,3,35.0,32,13634.19,0.002542,0.14,34.7,0.14,0.17,66387.04,364.45,11,11,53.53073125,0,0.81,0.0,183.6,1.0944115746914085,0.8864733755000408,3.0,1.0,0.81,1.0,4.09,0.1442605798091209,1,0.0,0.8864733755000408,5236.0,5368.0,19.99,23.61,2.01,5.98,-0.1635594849125504,2256.0,2113.0,6,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0
11,4168,1859,0,18.0,68,16131.87,0.004535,0.4,31.63,0.17,0.15,44821.49,232.0,11,11,66.056591,0,2.91,0.0,60.3,0.8131662840534785,2.3663138865956226,4.0,1.0,2.91,1.0,0.57,0.4760997484781175,2,0.0,2.3663138865956226,10513.0,15970.0,24.99,74.01,6.25,23.68,-0.0379110984740782,498.0,311.0,1,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0
12,5545,1023,3,99.0,188,19532.61,0.0033640000000000002,0.43,33.33,0.11,0.19,47153.39,468.3,11,11,302.18876800000004,0,0.28,0.0,46.2,1.3561277183812974,0.3797157611467633,1.0,2.0,0.28,2.0,8.22,0.0330290940517348,1,0.0,0.3797157611467633,1771.0,1653.0,18.09,8.99,7.66,3.18,-0.0889014722536806,253.0,300.0,6,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
13,7170,340,0,1.0,52,6150.05,0.007973000000000001,0.18,35.9,0.14,0.18,44178.23,389.13,11,11,8.55259725,0,1.76,0.0,49.4,0.8508221857079589,1.4974470468460075,1.0,2.0,1.76,2.0,0.13,0.7024336801563096,2,0.0,1.4974470468460075,7332.0,7217.0,19.18,9.49,5.36,2.61,-0.0089004518690948,994.0,675.0,1,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
14,7531,745,0,37.0,604,10334.25,0.008237999999999999,0.03,34.17,0.1,0.2,43561.55,204.86,11,11,173.30542075000002,0,1.63,0.0,6.0,0.9129448462778076,1.4881000994328262,0.0,4.0,1.63,4.0,0.72,0.550607988421805,2,0.0,1.4881000994328262,16003.0,17429.0,51.24,0.0,14.0,0.0,-0.0433611128516824,49473.0,46137.0,6,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0
15,1037,329,0,51.0,113,8091.34,0.006309,0.01,34.9,0.12,0.22,48140.98,170.42,11,11,12.928048750000002,0,0.32,0.0,217.9,0.8307629081432727,0.2658441306058473,0.0,-1.0,0.32,-1.0,0.0,0.8184200933378517,2,0.0,0.2658441306058473,1525.0,1651.0,-86.99,0.0,-48.33,0.0,-0.0770243581303489,197.0,202.0,9,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
16,4519,1329,3,0.0,367,9991.74,0.001586,0.04,35.52,0.11,0.13,69693.51,223.16,11,11,114.15185225,0,0.13,0.0,89.7,1.0190857848405643,0.1324811520292733,0.0,-1.0,0.13,-1.0,2.31,0.3689285456719515,1,0.0,0.1324811520292733,522.0,237.0,-25.99,0.0,-8.7,0.0,0.02868068833652,3.0,8.0,1,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
17,4997,195,0,51.0,50,10601.39,0.016844,0.06,34.65,0.18,0.23,45131.49,304.45,11,11,21.19676275,0,0.72,0.0,57.4,0.7116467181282674,0.5123856370523525,0.0,-1.0,0.72,-1.0,0.17,0.7024336801563096,2,0.0,0.5123856370523525,5309.0,1458.0,-22.37,0.0,-6.13,0.0,0.1524646541841803,3.0,9.0,1,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
18,6483,227,0,78.0,136,15627.16,0.00281,0.3,34.06,0.16,0.16,75322.64,380.52,11,11,122.22939200000002,0,0.47,0.0,120.2,1.2446244337860248,0.5849734838794317,0.0,-1.0,0.47,-1.0,0.36,0.6487178007348839,2,0.0,0.5849734838794317,1815.0,1894.0,-54.99,0.0,-29.5,0.0,-0.1026213050752928,95.0,96.0,9,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
19,6800,136,0,18.0,2141,17148.93,0.002768,0.06,31.95,0.13,0.19,58825.42,594.11,11,11,20.999134250000004,0,0.29,0.0,12.3,1.326132374467779,0.3845783885956559,0.0,-1.0,0.29,-1.0,9.33,0.0038793760442055,1,0.0,0.3845783885956559,800.0,975.0,-64.99,0.0,-33.94,0.0,-0.0024752475247524,70.0,78.0,4,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
20,7425,1469,3,0.0,113,8493.8,0.00288,0.03,36.11,0.14,0.19,70329.06,179.68,11,11,130.69265724999997,0,1.43,0.0,72.5168849077907,1.4692074532672108,2.1009666581721107,0.0,-1.0,1.43,-1.0,1.03,0.4864012731113012,2,0.0,2.1009666581721107,4104.0,227.0,-29.99,0.0,-10.66,0.0,-0.0551415797317436,9.0,153.0,1,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
21,8673,1478,3,87.0,83,18043.73,0.002141,0.3,32.31,0.13,0.2,73718.9,367.85,11,11,56.96610174999999,0,0.08,0.0,53.7,1.2036397221649466,0.0962911777731957,0.0,-1.0,0.08,-1.0,2.94,0.2840709279822708,1,0.0,0.0962911777731957,643.0,80.0,-27.99,0.0,-9.95,0.0,-0.3141524105754277,6.0,26.0,1,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
22,7653,583,0,58.0,118,12942.1,0.000678,0.14,33.53,0.1,0.13,70699.24,894.95,11,11,13.365661500000002,0,0.24,0.0,249.1,1.0894787738942906,0.2614749057346297,2.0,-1.0,0.24,-1.0,0.46,0.550607988421805,2,0.0,0.2614749057346297,1057.0,2138.0,-11.7,42.13,-7.48,9.46,-0.5794824399260629,2763.0,2175.0,6,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0,1.0
23,9421,1838,0,73.0,71,11660.75,0.002198,0.04,35.01,0.11,0.18,53759.29,473.9,11,11,14.060691,0,0.94,0.0,65.5,0.7310827265474972,0.6872177629546473,2.0,-1.0,0.94,-1.0,0.49,0.3724775670005658,2,0.0,0.6872177629546473,4956.0,4707.0,-19.99,39.98,-4.13,8.04,-0.2008435428800964,114.0,175.0,1,0.0,-1.0,0.0,2.0,-1.0,0.0,2.0,0.0
24,1055,132,0,94.0,466,14647.1,0.005934,0.07,33.54,0.14,0.19,51411.93,332.17,11,11,80.83257350000002,0,0.13,0.0,217.9,0.9855526420273522,0.1281218434635558,-1.0,0.0,0.13,0.0,7.63,0.0477146728661705,1,0.0,0.1281218434635558,427.0,571.0,0.0,-51.29,0.0,-29.12,-0.0815850815850815,64.0,51.0,9,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
25,4439,1925,0,49.0,134,18309.13,0.0016940000000000002,0.04,34.89,0.11,0.22,78694.8,709.94,11,11,48.438396000000004,0,0.36,0.0,249.1,1.5078236077811475,0.5428164988012131,-1.0,0.0,0.36,0.0,0.6,0.550607988421805,2,0.0,0.5428164988012131,992.0,1173.0,0.0,-58.99,0.0,-31.35,-0.0120603015075376,57.0,64.0,9,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
26,9688,719,0,10.0,32,19530.06,0.002076,0.58,30.58,0.15,0.18,47562.2,465.45,11,11,94.67812575000002,0,1.92,0.0,12.3,0.9738243969893066,1.8697428422194688,-1.0,0.0,1.92,0.0,0.13,0.7024336801563096,2,0.0,1.8697428422194688,5006.0,5704.0,0.0,-15.31,0.0,-1.91,-0.3620927936821322,4819.0,4479.0,6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
27,1001,1674,0,1.0,0,9876.97,0.009459,0.01,36.37,0.15,0.18,43559.5,378.0,0,0,0.0,0,0.0,0.0,72.7,0.9161722063915058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1005,1149,0,94.0,14,11826.45,0.004488000000000001,0.26,33.56,0.14,0.19,49179.34,227.98,11,11,10.19784675,0,0.53,0.0,44.5,0.9444650475555668,0.5005664752044505,0.0,0.0,0.53,0.0,0.0,0.9721508203934476,2,0.0,0.5005664752044505,2344.0,268.0,0.0,0.0,0.0,0.0,0.2914285714285714,280.0,864.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1005,1736,0,94.0,0,11826.45,0.004488000000000001,0.26,33.56,0.14,0.19,49179.34,227.98,0,0,0.0,0,0.0,0.0,44.5,0.9444650475555668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1006,188,0,94.0,172,17647.07,0.004884,0.1,34.5,0.13,0.19,48860.18,478.85,11,11,107.6729885,0,0.13,0.0,44.5,0.7704776051956859,0.1001620886754391,0.0,0.0,0.13,0.0,0.5,0.6487178007348839,2,0.0,0.1001620886754391,1312.0,1225.0,0.0,0.0,0.0,0.0,0.0234138972809667,28.0,41.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1007,1774,5,51.0,0,7950.52,0.00607,0.02,34.79,0.12,0.24,49139.76,197.82,0,0,17.446014250000005,0,0.0,0.0,70.0,0.9159851668254266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1012,1668,0,81.0,0,8128.44,0.007045999999999999,0.02,33.59,0.12,0.16,45889.62,128.67,0,0,0.0,0,0.0,0.0,87.6,0.6543848027348739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1014,184,0,94.0,72,7644.35,0.005052,0.15,34.65,0.13,0.19,50640.24,188.46,11,11,6.430578249999999,0,0.77,0.0,44.5,0.5260297799851071,0.4050429305885325,0.0,0.0,0.77,0.0,0.58,0.6487178007348839,2,0.0,0.4050429305885325,5874.0,6146.0,0.0,0.0,0.0,0.0,-0.0994390617032126,321.0,211.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1016,209,0,15.0,104,6606.64,0.008406,0.01,33.7,0.11,0.25,49036.86,133.51,11,11,18.769527,0,0.33,0.0,20.6,0.4656311623684068,0.1536582835815742,0.0,0.0,0.33,0.0,0.4,0.6487178007348839,2,0.0,0.1536582835815742,19605.0,33317.0,0.0,0.0,0.0,0.0,-0.2702853377933201,888.0,363.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1017,1879,0,51.0,490,7034.01,0.006195,0.0,33.93,0.12,0.24,50350.94,161.44,11,11,53.937645999999994,0,0.11,0.0,70.0,0.6382916362686409,0.0702120799895505,0.0,0.0,0.11,0.0,2.77,0.23499316071602103,1,0.0,0.0702120799895505,1974.0,2234.0,0.0,0.0,0.0,0.0,-0.1152073732718894,103.0,98.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1018,1568,3,51.0,32,10439.69,0.004864,0.05,36.19,0.12,0.22,48878.55,197.35,11,11,15.342890250000005,0,0.33,0.01,114.3,1.6769913759872055,0.5534071540757779,0.0,0.0,0.34,0.0,0.0,0.9600335809403062,3,0.016769913759872,0.57017706783565,2209.0,16.0,0.0,0.0,0.0,0.0,2.104766633565045,8.0,1843.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1021,1693,0,51.0,0,5853.87,0.008251,0.0,34.55,0.12,0.25,49904.62,132.31,0,0,0.0,0,0.0,0.0,72.7,0.5453087218174462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1022,1033,3,98.0,237,9243.09,0.00677,0.01,35.35,0.09,0.22,46869.1,180.76,11,11,51.72403775,0,0.38,0.0,114.3,0.981549703417248,0.3729888872985542,0.0,0.0,0.38,0.0,4.38,0.1442605798091209,1,0.0,0.3729888872985542,6257.0,6463.0,0.0,0.0,0.0,0.0,-0.1443531496697277,1861.0,2011.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1023,881,0,51.0,0,12927.0,0.007111,0.16,34.39,0.12,0.18,49382.17,332.98,11,11,36.09006525,0,0.0,0.0,17.5,1.4171145397606175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,165.0,20.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1023,1644,0,51.0,0,12927.0,0.007111,0.16,34.39,0.12,0.18,49382.17,332.98,0,0,0.0,0,0.0,0.0,17.5,1.4171145397606175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1025,1649,0,73.0,0,7496.6,0.001629,0.43,31.41,0.15,0.16,52271.64,159.92,0,0,0.0,0,0.0,0.0,87.6,0.8654682949919553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1027,1712,0,57.0,0,4087.68,0.002211,0.01,35.66,0.14,0.19,48645.09,74.09,0,0,0.0,0,0.0,0.0,114.3,0.7662562639172137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1029,1734,0,71.0,0,7816.01,0.0033640000000000002,0.51,31.52,0.12,0.17,47132.07,127.08,0,0,0.0,0,0.0,0.0,87.6,0.9160461609094728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1033,1489,3,71.0,52,8318.22,0.002482,0.19,31.86,0.11,0.19,48160.0,198.18,11,11,27.805945,0,0.11,0.0,87.6,0.9125942273516794,0.1003853650086847,0.0,0.0,0.11,0.0,2.18,0.3689285456719515,1,0.0,0.1003853650086847,771.0,120.0,0.0,0.0,0.0,0.0,-0.2772667542706964,1.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1037,1928,0,51.0,144,8091.34,0.006309,0.01,34.9,0.12,0.22,48140.98,170.42,11,11,24.066700250000004,0,0.1,0.0,217.9,0.8307629081432727,0.0830762908143272,0.0,0.0,0.1,0.0,0.64,0.596614196804651,2,0.0,0.0830762908143272,862.0,842.0,0.0,0.0,0.0,0.0,-0.0271546635182998,40.0,46.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1041,1727,0,51.0,0,9872.7,0.006531,0.01,34.64,0.13,0.23,48313.42,249.83,0,0,0.0,0,0.0,0.0,70.0,0.6618380265761045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1042,1774,5,51.0,0,6786.79,0.004458,0.01,35.12,0.14,0.23,49380.38,130.34,0,0,9.62218925,0,0.0,0.0,70.0,0.7336495789939821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1045,1728,0,94.0,0,8746.98,0.005816,0.01,34.88,0.13,0.24,48117.52,220.76,0,0,0.0,0,0.0,0.0,70.0,0.7909187003743096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1047,169,3,51.0,98,7512.16,0.00805,0.02,33.52,0.11,0.22,48404.97,207.16,11,11,35.50553724999999,0,1.46,0.0,87.6,0.9273935856714592,1.3539946350803305,0.0,0.0,1.46,0.0,2.1,0.3689285456719515,1,0.0,1.3539946350803305,7977.0,7939.0,0.0,0.0,0.0,0.0,-0.25103552152629605,404.0,394.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1058,849,0,37.0,35,16422.6,0.008139,0.03,34.49,0.13,0.15,45040.67,459.42,11,11,22.133184000000004,0,0.0,0.0,37.1,1.2222869868983095,0.0,0.0,0.0,0.0,0.0,0.0,0.8184200933378517,2,0.0,0.0,417.0,1493.0,0.0,0.0,0.0,0.0,-0.30843373493975895,33.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1058,1711,0,37.0,0,16422.6,0.008139,0.03,34.49,0.13,0.15,45040.67,459.42,0,0,0.0,0,0.0,0.0,37.1,1.2222869868983095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1059,858,0,51.0,0,10685.6,0.012092,0.05,34.11,0.11,0.2,47314.09,195.14,11,11,37.189302500000004,0,0.0,0.0,87.6,1.1066277784326406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,10.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1061,889,0,51.0,0,15374.43,0.011047,0.06,34.12,0.13,0.18,47733.34,484.51,11,11,10.988433999999998,0,0.0,0.0,87.6,1.8038937083255016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1061,1468,3,51.0,247,15374.43,0.011047,0.06,34.12,0.13,0.18,47733.34,484.51,11,11,43.35991425000001,0,0.35,0.0,87.6,1.8038937083255016,0.6313627979139255,0.0,0.0,0.35,0.0,1.29,0.4864012731113012,2,0.0,0.6313627979139255,2147.0,316.0,0.0,0.0,0.0,0.0,-0.2557162855809612,2.0,22.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1064,875,0,73.0,0,13001.39,0.003156,0.05,32.71,0.12,0.15,56151.72,495.8,11,11,26.187901500000002,0,0.0,0.0,87.6,1.2199888373802792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,43.0,16.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1074,481,3,71.0,36,8057.42,0.0018239999999999999,0.19,32.88,0.14,0.2,50944.29,319.45,11,11,14.856923000000002,0,0.49,0.0,70.0,0.92519100102024,0.4533435904999175,0.0,0.0,0.49,0.0,2.2,0.3689285456719515,1,0.0,0.4533435904999175,2379.0,2048.0,0.0,0.0,0.0,0.0,0.0661052631578947,602.0,584.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1076,1718,0,21.0,0,10099.23,0.0046229999999999995,0.04,34.4,0.12,0.22,51345.6,248.88,0,0,0.0,0,0.0,0.0,68.4,1.1125815951054818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1084,1692,0,36.0,0,7975.99,0.005279,0.05,34.85,0.14,0.25,50205.74,224.76,0,0,0.0,0,0.0,0.0,68.4,0.6661200522549912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1085,133,0,21.0,154,12704.01,0.002649,0.11,33.92,0.11,0.2,52648.56,325.11,11,11,133.74514,0,0.12,0.0,70.0,1.0667640354549126,0.1280116842545895,0.0,0.0,0.12,0.0,4.82,0.1200470684801498,1,0.0,0.1280116842545895,405.0,532.0,0.0,0.0,0.0,0.0,-0.0201511335012594,23.0,33.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
